species;plastome;ITS;matK;ndhF;rbcL;atpB.rbcL;ndhA_intron;rpl16_intron;rpl32.trnL;rps16_intron;trnL.F
Teucrium parviflorum;NA;KT006799;NA;NA;NA;NA;NA;NA;NA;NA;KT006825
Teucrium pestalozzae;NA;KT006801;NA;NA;NA;NA;NA;NA;NA;NA;KT006817
Teucrium pruinosum;NA;JN575420;NA;NA;NA;NA;NA;NA;NA;NA;JN408658
Teucrium pseudaroanium;NA;KT006803;NA;NA;NA;NA;NA;NA;NA;NA;KT006840
Teucrium pseudochamaepitys;NA;JN575384;NA;JN575450;NA;NA;NA;NA;NA;NA;JN408653
Teucrium pumilum;NA;JN575383;NA;NA;NA;NA;NA;NA;NA;NA;JN408621
Teucrium pyrenaicum;NA;JN575422;NA;JN575461;NA;NA;NA;NA;NA;NA;FJ952080
Teucrium quadrifarium;NA;JN575423;MF801749;NA;MF801804;NA;NA;NA;NA;MF801863;MF801953
Teucrium racemosum;NA;JN575424;NA;JN575462;NA;NA;NA;NA;NA;NA;JN408662
Teucrium resupinatum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;JN408663
Teucrium royleanum;NA;JN575425;NA;NA;NA;NA;NA;NA;NA;NA;JN408664
Teucrium rupestre;NA;JN575426;NA;NA;NA;NA;NA;NA;NA;NA;JN408665
Teucrium salviastrum;NA;JN575427;NA;JN575463;NA;NA;NA;NA;NA;NA;JN408666
Teucrium sandrasicum;NA;KT006804;NA;NA;NA;NA;NA;NA;NA;NA;KT006816
Teucrium sessiliflorum;NA;JN575431;NA;NA;NA;NA;NA;NA;NA;NA;JN408670
Teucrium sirnakense;NA;KJ608361;NA;NA;NA;NA;NA;NA;NA;NA;KT006832
Teucrium spinosum;NA;JN575346;NA;JN575465;NA;NA;NA;NA;NA;NA;JN408671
Teucrium subspinosum;NA;JN575433;NA;JN575466;NA;NA;NA;NA;NA;NA;JN408673
Teucrium trifidum;NA;JN575435;NA;NA;NA;NA;NA;NA;NA;NA;JN408610
Teucrium vesicarium;NA;JN575361;NA;NA;JQ592306;NA;NA;NA;NA;NA;JN408599
Teucrium webbianum;NA;JN575437;NA;NA;NA;NA;NA;NA;NA;NA;JN408677
Thamnocharis esquirolii;NA;NA;NA;NA;KX527354;NA;NA;NA;NA;NA;NA
Thomandersia hensii;NA;NA;FN773560;AY919284;AY919279;NA;NA;NA;NA;FN794112;FN794075
Thomandersia laurifolia;NA;JN686503;HQ384515;AY919285;AY919280;NA;NA;NA;NA;JN686550;HQ412937
Thorncroftia longiflora;NA;NA;NA;NA;NA;NA;NA;NA;NA;AJ505401;AJ505521
Thorncroftia media;NA;NA;NA;NA;NA;NA;NA;NA;NA;AJ505400;AJ505522
Thunbergia affinis;NA;NA;NA;NA;NA;NA;NA;EU315845;NA;EU315804;NA
Thunbergia alata;NA;AF169850;AF531811;U12667;HQ384878;NA;NA;EU315846;NA;EU529063;AJ608564
Thunbergia angulata;NA;NA;NA;NA;NA;NA;NA;EU315847;NA;EU315806;NA
Thunbergia arnhemica;NA;NA;NA;NA;NA;NA;NA;EU315848;NA;EU315807;NA
Thunbergia atriplicifolia;NA;NA;NA;NA;NA;NA;NA;EU315849;NA;EU315808;NA
Thunbergia battiscombei;NA;NA;NA;NA;NA;NA;NA;EU315850;NA;EU315809;NA
Thunbergia capensis;NA;NA;NA;NA;AM234783;NA;NA;EU315851;NA;EU315810;NA
Thunbergia coccinea;NA;HG004805;HG004920;NA;KF181493;NA;NA;EU315852;NA;EU315811;NA
Thunbergia convolvulifolia;NA;NA;NA;NA;NA;NA;NA;EU315853;NA;EU315812;NA
Thunbergia dregeana;NA;NA;NA;NA;NA;NA;NA;EU315854;NA;EU315813;NA
Thunbergia erecta;NA;AF169851;AB649972;NA;NA;NA;NA;EU315855;NA;EU529065;AF061821
Thunbergia fragrans;NA;NA;NA;NA;NA;NA;NA;EU315856;NA;EU315815;NA
Thunbergia grandiflora;NA;KX641599;AB649971;NA;JQ590086;NA;NA;EU315858;NA;EU315817;NA
Thunbergia gregoryi;NA;NA;NA;NA;NA;NA;NA;EU315859;NA;EU315818;NA
Thunbergia guerkeana;NA;NA;NA;NA;NA;NA;NA;EU315860;NA;EU315819;NA
Thunbergia kirkii;NA;NA;NA;NA;NA;NA;NA;EU315861;NA;EU315820;NA
Thunbergia laurifolia;NA;KT004504;AB649970;NA;LC456372;NA;NA;EU315862;NA;EU315821;NA
Thunbergia mysorensis;NA;NA;NA;NA;AY008828;NA;NA;NA;NA;NA;NA
Thunbergia petersiana;NA;NA;NA;NA;NA;NA;NA;EU315863;NA;EU315822;NA
Thunbergia pondoensis;NA;NA;NA;NA;NA;NA;NA;EU315864;NA;EU315823;NA
Thunbergia togoensis;NA;NA;NA;NA;NA;NA;NA;EU315865;NA;EU315824;NA
Thunbergia tsavoensis;NA;NA;MK294513;NA;NA;NA;NA;NA;NA;NA;MK261531
Thunbergia usambarica;NA;NA;NA;NA;L12596;NA;NA;NA;NA;NA;NA
Thuspeinanta brahuica;NA;KF529656;NA;NA;NA;NA;NA;NA;NA;FJ854125;FJ854333
Thuspeinanta persica;NA;KF529657;HQ911550;NA;NA;NA;NA;NA;NA;FJ854126;FJ854334
Thymbra calostachya;NA;GU381452;NA;NA;NA;NA;NA;NA;NA;NA;GU381628
Thymbra capitata;NA;JQ669137;HE819441;NA;HE819513;NA;NA;NA;JQ669377;NA;GU381629
Thymbra sintenisii;NA;GU381451;NA;NA;NA;NA;NA;NA;NA;NA;GU381627
Thymbra spicata;NA;GU381456;GU381788;NA;HQ902798;NA;NA;NA;NA;NA;GU381632
Thymus amurensis;NA;EU556515;NA;NA;NA;NA;NA;NA;NA;NA;EU556532
Thymus broussonetii;NA;GU381458;NA;NA;NA;NA;NA;NA;NA;NA;GU381635
Thymus dahuricus;NA;EU556511;NA;NA;NA;NA;NA;NA;NA;NA;EU556529
Thymus longicaulis;NA;MH325950;HE819417;NA;HE819488;NA;NA;NA;NA;NA;NA
Thymus mandschuricus;NA;EU556512;NA;NA;NA;NA;NA;NA;NA;NA;EU556530
Thymus mongolicus;NA;EU556518;NA;NA;NA;NA;NA;NA;NA;NA;EU556527
Thymus odoratissimus;NA;NA;KJ746155;NA;KJ746269;NA;NA;NA;NA;NA;KJ746360
Thymus oenipontanus;NA;NA;HE819434;NA;HE819505;NA;NA;NA;NA;NA;NA
Thymus praecox;NA;MG218489;JN893961;NA;KF602235;NA;NA;NA;NA;NA;NA
Thymus pulegioides;NA;JQ669138;GU381790;NA;KJ746270;NA;NA;NA;JQ669378;NA;GU381634
Thymus quinquecostatus;NA;EU556507;NA;NA;NA;NA;NA;NA;NA;NA;EU556537
Thymus serpyllum;NA;KR150146;JF357823;NA;KF997486;NA;NA;NA;JQ669379;NA;AY570502
Thymus sibthorpii;NA;NA;KR063649;NA;KR063653;NA;NA;NA;NA;NA;KR063657
Thymus sipyleus;NA;NA;HQ902749;NA;HQ902799;NA;NA;NA;NA;NA;NA
Thymus spinulosus;NA;NA;HE819427;NA;HE819498;NA;NA;NA;NA;NA;NA
Thymus vulgaris;Li_2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Thymus zygioides;NA;NA;HQ902750;NA;HQ902800;NA;NA;NA;NA;NA;NA
Thyridia repens;NA;NA;NA;NA;KT007200;NA;NA;NA;NA;NA;NA
Thyrsacanthus boliviensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;KJ535236;KJ535268
Thyrsacanthus microphyllus;NA;NA;NA;NA;NA;NA;NA;NA;NA;KJ535237;KJ535269
Thyrsacanthus ramosus;NA;KJ535203;NA;NA;NA;NA;NA;NA;NA;KJ535239;KJ535271
Thyrsacanthus secundus;NA;KJ535204;NA;NA;NA;NA;NA;NA;NA;KJ535240;KJ535272
Tinnea aethiopica;NA;NA;KR734551;NA;KR737558;NA;NA;NA;NA;NA;KR738662
Tinnea barbata;NA;NA;JX518083;NA;JX573048;NA;NA;NA;NA;NA;NA
Tinnea gracilis;NA;NA;HQ911386;NA;NA;NA;NA;NA;NA;NA;NA
Tinnea rhodesiana;NA;MF193549;HQ911385;NA;JX573049;NA;NA;NA;JX981446;NA;NA
Tinnea zambesiaca;NA;NA;NA;U78709;U28886;NA;NA;NA;NA;NA;NA
Tonella tenella;NA;HQ652978;NA;NA;MG222706;NA;NA;NA;NA;NA;NA
Torenia asiatica;NA;NA;KF257451;NA;AB775519;NA;NA;NA;NA;KF257724;KF257801
Torenia baillonii;NA;AY492122;NA;AJ617583;AB259805;NA;NA;NA;NA;AY492227;AJ608562
Torenia benthamiana;NA;NA;KF257452;NA;AB775521;NA;NA;NA;NA;KF257725;KF257802
Torenia biniflora;NA;NA;KF257453;NA;NA;NA;NA;NA;NA;KF257726;KF257803
Torenia concolor;NA;NA;KF257454;NA;AB259806;NA;NA;NA;NA;KF257727;KF257772
Torenia cordifolia;NA;NA;KF257455;NA;NA;NA;NA;NA;NA;KF257728;KF257773
Torenia flava;NA;NA;KF257456;NA;AB775523;NA;NA;NA;NA;KF257729;KF257774
Torenia fordii;NA;NA;KF257457;NA;NA;NA;NA;NA;NA;KF257730;KF257804
Torenia fournieri;NA;NA;KF257458;NA;AF026842;NA;NA;NA;NA;KF257731;KF257805
Torenia hirsutissima;NA;NA;KF257460;NA;AB775526;NA;NA;NA;NA;KF257733;KF257776
Torenia javanica;NA;NA;KF257461;NA;NA;NA;NA;NA;NA;KF257734;KF257777
Torenia pierreana;NA;NA;NA;NA;AB775527;NA;NA;NA;NA;NA;NA
Torenia ranongensis;NA;NA;NA;NA;AB775528;NA;NA;NA;NA;NA;NA
Torenia siamensis;NA;NA;KF257463;NA;NA;NA;NA;NA;NA;KF257736;KF257807
Torenia stolonifera;NA;NA;FN773561;NA;NA;NA;NA;NA;NA;FN794113;FN794076
Torenia thouarsii;NA;NA;KF257462;NA;NA;NA;NA;NA;NA;KF257735;KF257808
Torenia vagans;NA;NA;AF531812;NA;NA;NA;NA;NA;NA;NA;NA
Torenia violacea;NA;NA;KF257465;NA;AB775529;NA;NA;NA;NA;KF257738;KF257809
Tourrettia lappacea;NA;NA;NA;FJ887876;NA;NA;NA;NA;NA;NA;FJ870063
Tozzia alpina;NA;MF444624;AF052001;NA;AF026843;NA;NA;EU259209;NA;JF900544;KM434094
Trapella sinensis;Li_2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Triaenophora rupestris;NA;EF363675;KR424751;EF522186;EF544599;NA;NA;NA;NA;FJ172698;EF522184
Triaenophora shennongjiaensis;MH071405;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Trichanthera gigantea;NA;JX443815;GQ982116;NA;GQ981903;NA;NA;NA;NA;NA;NA
Trichodrymonia macrophylla;NA;KX011578;NA;NA;NA;KX011552;NA;KX011570;NA;NA;NA
Trichostema arizonicum;NA;EF508070;NA;AY115898;NA;NA;NA;NA;NA;NA;NA
Trichostema austromontanum;NA;EF508079;NA;AY115906;NA;NA;NA;NA;NA;NA;NA
Trichostema brachiatum;NA;EF508065;MF801750;AY115895;MF801806;NA;NA;NA;NA;MF801865;MF801955
Trichostema dichotomum;NA;EF508066;AF336235;U78682;U28887;NA;NA;NA;NA;MF801866;MF801956
Trichostema lanatum;NA;MF963905;MF963540;AY115900;MF963174;NA;NA;NA;NA;NA;NA
Trichostema lanceolatum;NA;NA;NA;AY115902;NA;NA;NA;NA;NA;NA;NA
Trichostema laxum;NA;EF508076;NA;AY115904;NA;NA;NA;NA;NA;NA;NA
Trichostema micranthum;NA;EF508075;NA;AY115903;NA;NA;NA;NA;NA;NA;NA
Trichostema oblongum;NA;EF508080;NA;AY115907;MG223849;NA;NA;NA;NA;NA;NA
Trichostema ovatum;NA;EF508073;NA;AY115901;NA;NA;NA;NA;NA;NA;NA
Trichostema parishii;NA;EF508071;NA;AY115899;NA;NA;NA;NA;NA;NA;NA
Trichostema purpusii;NA;EF508069;NA;AY115897;NA;NA;NA;NA;NA;NA;NA
Trichostema setaceum;NA;EF508067;MH552292;AY115896;KJ773955;NA;NA;NA;NA;NA;NA
Trichostema simulatum;NA;EF508078;NA;AY115905;NA;NA;NA;NA;NA;NA;NA
Trieenea glutinosa;NA;AJ584758;NA;AJ401400;NA;NA;NA;NA;NA;NA;AJ296516
Triphysaria eriantha;NA;FJ939252;MF963634;NA;MF963274;NA;NA;NA;NA;FJ939278;FJ939265
Triphysaria floribunda;NA;KC480408;NA;NA;NA;NA;NA;NA;NA;EF103814;EF103892
Triphysaria micrantha;NA;EF103737;NA;NA;NA;NA;NA;NA;NA;EF103815;EF103893
Triphysaria pusilla;NA;MF964016;MF963635;NA;MF963275;NA;NA;NA;NA;EF103816;EF103894
Triphysaria versicolor;NA;FJ939254;NA;NA;MG224707;NA;NA;NA;NA;FJ939280;FJ939267
Tripora divaricata;NA;NA;MF801752;NA;MF801809;NA;NA;NA;NA;MF801868;MF801959
Tylopsacas cuneata;NA;GQ119592;NA;AF176635;NA;NA;NA;NA;NA;NA;NA
Tynanthus cognatus;NA;NA;NA;KP728878;NA;NA;NA;NA;KP757343;NA;NA
Tynanthus croatianus;NA;NA;KJ594074;KP728882;KJ594546;NA;NA;NA;KP757347;NA;NA
Tynanthus densiflorus;NA;NA;NA;KP728881;NA;NA;NA;NA;KP757346;NA;NA
Tynanthus espiritosantensis;NA;NA;NA;KP728889;NA;NA;NA;NA;KP757355;NA;NA
Tynanthus fasciculatus;NA;NA;NA;KP728886;NA;NA;NA;NA;KP757344;NA;NA
Tynanthus guatemalensis;NA;NA;NA;KP728883;NA;NA;NA;NA;KP757348;NA;NA
Tynanthus labiatus;NA;NA;NA;KP728897;NA;NA;NA;NA;KP757345;NA;NA
Tynanthus macranthus;NA;NA;NA;KP728885;NA;NA;NA;NA;KP757350;NA;NA
Tynanthus micranthus;NA;NA;NA;KP728891;NA;NA;NA;NA;KP757357;NA;NA
Tynanthus panurensis;NA;NA;NA;DQ222644;NA;NA;NA;NA;KP757353;NA;FJ870064
Tynanthus polyanthus;NA;NA;NA;DQ222645;NA;NA;NA;NA;KP757354;NA;NA
Tynanthus pubescens;NA;NA;NA;KP757365;NA;NA;NA;NA;KP757351;NA;NA
Tynanthus sastrei;NA;NA;NA;KP757367;NA;NA;NA;NA;NA;NA;NA
Tynanthus schumannianus;NA;NA;NA;DQ222646;NA;NA;NA;NA;KP757338;NA;NA
Uncarina grandidieri;Li_2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Utricularia adpressa;NA;NA;NA;NA;AF482527;NA;NA;NA;NA;AF482555;AF482628
Utricularia albiflora;NA;NA;NA;NA;NA;NA;NA;NA;NA;KY243403;NA
Utricularia alpina;NA;NA;AF531822;NA;AF482528;NA;NA;NA;LC348692;MH030258;AF482629
Utricularia ameliae;NA;NA;NA;NA;NA;NA;NA;NA;NA;KY243404;KY243582
Utricularia amethystina;NA;NA;NA;NA;MF991576;NA;NA;NA;NA;MH030262;MH030171
Utricularia antennifera;NA;NA;NA;NA;NA;NA;NA;NA;NA;KY243559;KY243681
Utricularia arcuata;NA;NA;MF765518;NA;NA;NA;NA;NA;NA;NA;NA
Utricularia arenaria;NA;MG027730;MF765500;NA;MF991477;NA;NA;NA;NA;NA;MF765592
Utricularia arnhemica;NA;NA;MF765494;NA;NA;NA;NA;NA;NA;GQ478671;MF765600
Utricularia asplundii;NA;NA;KY689700;NA;NA;NA;NA;NA;NA;AF482558;AF482631
Utricularia aurea;NA;NA;MH292756;NA;MH292766;NA;NA;NA;NA;AF482559;AF482632
Utricularia aureomaculata;NA;NA;MF765532;NA;NA;NA;NA;NA;NA;NA;MF765558
Utricularia australis;NA;NA;AF531823;NA;MF572257;NA;NA;NA;NA;MH051567;AF482633
Utricularia babui;NA;NA;MF765516;NA;NA;NA;NA;NA;NA;NA;NA
Utricularia beaugleholei;NA;NA;NA;NA;NA;NA;NA;NA;NA;KY243414;KY243587
Utricularia benjaminiana;NA;NA;MF765539;NA;NA;NA;NA;NA;NA;NA;MF765568
Utricularia benthamii;NA;NA;NA;NA;NA;NA;NA;NA;NA;KY243418;KY243589
Utricularia bifida;NA;MG027739;NA;NA;MF991483;NA;NA;NA;NA;NA;NA
Utricularia biloba;NA;NA;MF765534;NA;NA;NA;NA;NA;NA;AF482561;AF482634
Utricularia bisquamata;NA;NA;MF765503;NA;NA;NA;NA;NA;NA;AF482562;MF765591
Utricularia blackmanii;NA;NA;NA;NA;NA;NA;NA;NA;NA;KY243419;KY243590
Utricularia blanchetii;NA;NA;AF531841;NA;NA;NA;NA;NA;NA;NA;MF765597
Utricularia breviscapa;NA;NA;MF765537;NA;MF991487;NA;NA;NA;NA;NA;MF765565
Utricularia byrneana;NA;NA;NA;NA;NA;NA;NA;NA;NA;KY243519;KY243651
Utricularia caerulea;NA;NA;MF765507;NA;MH292762;NA;NA;NA;NA;KY243543;AF482636
Utricularia calycifida;NA;NA;AF531824;NA;MF991489;NA;NA;NA;NA;MH030265;MF765578
Utricularia capilliflora;NA;NA;MF765495;NA;NA;NA;NA;NA;NA;KY243422;KY243592
Utricularia cheiranthos;NA;NA;NA;NA;NA;NA;NA;NA;NA;KY243424;KY243594
Utricularia chrysantha;NA;NA;MF765527;NA;NA;NA;NA;NA;NA;NA;AF482637
Utricularia cornuta;NA;NA;MF765524;NA;MG224314;NA;NA;NA;NA;AF482564;AF482638
Utricularia costata;NA;NA;NA;NA;AY128628;NA;NA;NA;NA;AF482565;AF482639
Utricularia cucullata;NA;NA;NA;NA;MF991492;NA;NA;NA;NA;AF482566;AF482640
Utricularia delicatula;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;AF488530
Utricularia dichotoma;NA;NA;AF531826;NA;AY128632;NA;NA;NA;NA;KY243442;MF765601
Utricularia dunlopii;NA;NA;MF765493;NA;NA;NA;NA;NA;NA;GQ478676;KY243597
Utricularia dunstaniae;NA;NA;NA;NA;NA;NA;NA;NA;NA;KY243574;KY243600
Utricularia endresii;NA;NA;MF765543;NA;NA;NA;NA;NA;NA;NA;AF482642
Utricularia erectiflora;NA;NA;MF765514;NA;NA;NA;NA;NA;NA;AF482568;AF482643
Utricularia fenshamii;NA;NA;NA;NA;NA;NA;NA;NA;NA;KY243463;NA
Utricularia firmula;NA;NA;MF765501;NA;NA;NA;NA;NA;NA;NA;NA
Utricularia fistulosa;NA;NA;NA;NA;NA;NA;NA;NA;NA;KY243466;KY243604
Utricularia flaccida;NA;NA;AF531830;NA;NA;NA;NA;NA;NA;AF482569;AF482644
Utricularia floridana;NA;NA;MF765541;NA;KY627462;NA;NA;NA;LC348693;NA;MF765566
Utricularia foliosa;NA;NA;MF765538;NA;MF991497;NA;NA;NA;NA;MG027706;MF765564
Utricularia foveolata;NA;NA;AF531850;NA;NA;NA;NA;NA;NA;AF482570;AF482645
Utricularia fulva;NA;NA;MF765526;NA;NA;NA;NA;NA;NA;NA;MF765590
Utricularia geminiloba;NA;NA;MF765545;NA;NA;NA;NA;NA;NA;NA;MF765569
Utricularia geminiscapa;NA;NA;NA;NA;MG224418;EF529724;NA;NA;NA;AF482571;AF482647
Utricularia georgei;NA;NA;NA;NA;NA;NA;NA;NA;NA;KY243468;KY243605
Utricularia gibba;KC997777;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Utricularia graminifolia;NA;NA;MF765517;NA;MH292763;NA;NA;NA;NA;AF482573;AF482649
Utricularia grampiana;NA;NA;NA;NA;NA;NA;NA;NA;NA;KY243470;KY243607
Utricularia hamiltonii;NA;NA;NA;NA;NA;NA;NA;NA;NA;KY243566;KY243608
Utricularia helix;NA;NA;NA;NA;NA;NA;NA;NA;NA;KY243473;KY243610
Utricularia heterochroma;NA;NA;MF765533;NA;NA;NA;NA;NA;NA;NA;NA
Utricularia hintonii;NA;NA;NA;NA;NA;NA;NA;NA;NA;MH030247;MH030157
Utricularia hirta;NA;NA;MF765509;NA;NA;NA;NA;NA;NA;NA;NA
Utricularia hispida;NA;NA;AF531829;NA;MF991505;NA;NA;NA;NA;MH030215;MF765579
Utricularia holtzei;NA;NA;NA;NA;NA;NA;NA;NA;NA;KY243475;KY243611
Utricularia humboldtii;NA;NA;AF531836;NA;NA;NA;NA;NA;NA;NA;MF765571
Utricularia huntii;NA;NA;NA;NA;NA;NA;NA;NA;NA;MH030221;MH030132
Utricularia inaequalis;NA;NA;NA;NA;NA;NA;NA;NA;NA;KY243476;KY243613
Utricularia intermedia;NA;NA;AF531839;NA;MG222361;NA;NA;NA;NA;MH051579;AF482651
Utricularia jamesoniana;NA;NA;MF765547;NA;NA;NA;NA;NA;NA;NA;MF765574
Utricularia juncea;NA;NA;AF531832;NA;AY128630;NA;NA;NA;NA;AF482576;MF765587
Utricularia kamienskii;NA;NA;MF765499;NA;NA;NA;NA;NA;NA;KY243479;KY243615
Utricularia kenneallyi;NA;NA;NA;NA;NA;NA;NA;NA;NA;KY243480;KY243617
Utricularia kimberleyensis;NA;NA;MF765492;NA;NA;NA;NA;NA;NA;KY243560;KY243630
Utricularia laciniata;NA;NA;NA;NA;MF991512;NA;NA;NA;NA;AF482577;AF482653
Utricularia lasiocaulis;NA;NA;NA;NA;NA;NA;NA;NA;NA;KY243562;KY243692
Utricularia lateriflora;NA;NA;MF765504;NA;MF991514;NA;NA;NA;NA;AF482578;AF482654
Utricularia laxa;NA;NA;MF765521;NA;MF991568;NA;NA;NA;NA;NA;MF765585
Utricularia leptoplectra;NA;NA;NA;NA;NA;NA;NA;NA;NA;AF488526;AF488532
Utricularia leptorhyncha;NA;NA;MF765498;NA;NA;NA;NA;NA;NA;KY243563;KY243627
Utricularia limosa;NA;NA;NA;NA;NA;NA;NA;NA;NA;KY243546;KY243669
Utricularia linearis;NA;NA;NA;NA;NA;NA;NA;NA;NA;KY243579;KY243686
Utricularia livida;NA;NA;AF531833;NA;MF991569;NA;NA;NA;NA;AF482579;AF482655
Utricularia lloydii;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;MF765586
Utricularia longifolia;NA;NA;AF531834;NA;MF991515;NA;NA;NA;NA;AF482580;MH030165
Utricularia lowriei;NA;NA;NA;NA;NA;NA;NA;NA;NA;KY243496;KY243631
Utricularia mannii;NA;NA;MF765520;NA;NA;NA;NA;NA;NA;NA;NA
Utricularia menziesii;NA;NA;NA;NA;MF991573;NA;NA;NA;NA;KY243497;KY243632
Utricularia meyeri;NA;NA;NA;NA;MF991570;NA;NA;NA;NA;AF482582;AF482658
Utricularia minor;NA;AB212118;MF765554;NA;KC584902;NA;NA;NA;NA;MH051592;MF765562
Utricularia minutissima;NA;NA;MF765510;NA;MH292770;NA;NA;NA;NA;KY243558;KY243680
Utricularia monanthos;NA;NA;NA;NA;MF991519;NA;NA;NA;NA;KY243500;NA
Utricularia muelleri;NA;NA;NA;NA;NA;NA;NA;NA;NA;KY243569;KY243691
Utricularia multifida;NA;NA;AF531848;NA;MF991571;NA;NA;NA;NA;AF482583;KY243633
Utricularia myriocista;NA;NA;NA;NA;NA;NA;NA;NA;NA;AF482584;AF482660
Utricularia nana;NA;NA;AF531837;NA;MF991520;NA;NA;NA;NA;AF482585;AF482661
Utricularia nelumbifolia;NA;NA;NA;NA;MF991521;NA;NA;NA;NA;AF482586;AF482662
Utricularia neottioides;NA;NA;NA;NA;MF991523;NA;NA;NA;NA;AF482587;AF482663
Utricularia nephrophylla;NA;NA;AF531827;NA;NA;NA;NA;NA;NA;AF482588;MF765570
Utricularia nervosa;NA;NA;MF765552;NA;MF991527;NA;NA;NA;NA;NA;MF765557
Utricularia nigrescens;NA;NA;MF765529;NA;NA;NA;NA;NA;NA;NA;NA
Utricularia novae-zelandiae;NA;NA;MF765490;NA;NA;NA;NA;NA;NA;KY243503;KY243634
Utricularia ochroleuca;NA;NA;NA;NA;MG221383;NA;NA;NA;NA;MH051596;NA
Utricularia olivacea;NA;NA;AF531840;NA;MF991567;NA;NA;NA;NA;AF482589;MF765567
Utricularia oliveriana;NA;NA;MF765530;NA;NA;NA;NA;NA;NA;AF482590;MF765556
Utricularia parthenopipes;NA;NA;AF531842;NA;NA;NA;NA;NA;NA;NA;MF765596
Utricularia paulineae;NA;NA;MF765488;NA;NA;NA;NA;NA;NA;GQ478689;MF765599
Utricularia petertaylorii;NA;NA;MF765485;NA;NA;NA;NA;NA;NA;NA;KY243638
Utricularia polygaloides;NA;NA;MH292760;NA;MH292764;NA;NA;NA;NA;NA;NA
Utricularia praelonga;NA;NA;AF531843;NA;MF991529;NA;NA;NA;NA;MH030256;MH030166
Utricularia praeterita;NA;NA;MH292761;NA;MG966528;NA;NA;NA;NA;NA;NA
Utricularia praetermissa;NA;NA;MF765553;NA;NA;NA;NA;NA;NA;NA;MF765572
Utricularia prehensilis;NA;NA;MF765519;NA;NA;NA;NA;NA;NA;AF482592;MF765582
Utricularia pubescens;NA;NA;AF531844;NA;AY128629;NA;NA;NA;NA;AF482593;MF765593
Utricularia purpurea;NA;NA;AF531845;NA;MG223611;NA;NA;NA;NA;NA;MF765559
Utricularia purpureocaerulea;NA;NA;MF765511;NA;NA;NA;NA;NA;NA;NA;NA
Utricularia pusilla;NA;NA;MF765531;NA;MF991532;NA;NA;NA;NA;NA;NA
Utricularia quelchii;NA;NA;AF531846;NA;NA;NA;NA;NA;NA;NA;MF765575
Utricularia quinquedentata;NA;NA;MF765496;NA;NA;NA;NA;NA;NA;KY243557;KY243639
Utricularia radiata;NA;NA;KY607388;NA;MF991533;NA;NA;NA;NA;NA;NA
Utricularia reflexa;NA;NA;MF765540;NA;MF991535;NA;NA;NA;NA;NA;NA
Utricularia reniformis;KT336489;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Utricularia resupinata;NA;NA;MF765542;NA;MG222529;NA;NA;NA;NA;AF488527;AF488533
Utricularia rigida;NA;NA;AF531838;NA;NA;NA;NA;NA;NA;NA;MF765583
Utricularia sandersonii;NA;MG027735;AF531847;NA;MF991542;NA;NA;NA;NA;AF482596;AF482672
Utricularia scandens;NA;NA;MF765523;NA;MH292768;NA;NA;NA;NA;NA;MF765584
Utricularia simmonsii;NA;NA;MF765525;NA;NA;NA;NA;NA;NA;GQ478692;MF765588
Utricularia simplex;NA;NA;MF765505;NA;NA;NA;NA;NA;NA;NA;AF482673
Utricularia simulans;NA;NA;MF765513;NA;MF991543;NA;NA;NA;NA;AF482597;AF482674
Utricularia singeriana;NA;NA;MF765489;NA;NA;NA;NA;NA;NA;GQ478693;KY243642
Utricularia spiralis;NA;NA;AF531851;NA;NA;NA;NA;NA;NA;NA;MF765581
Utricularia striatula;NA;NA;NA;NA;MF786551;NA;NA;NA;NA;AF482598;AF482675
Utricularia stygia;NA;NA;MF765535;NA;JN890776;NA;NA;NA;NA;MH051606;MF765561
Utricularia subulata;NA;NA;AF531821;NA;KY627581;NA;NA;NA;NA;AF482599;AF482676
Utricularia tenella;NA;NA;NA;NA;NA;NA;NA;NA;NA;KY243523;KY243654
Utricularia tenuissima;NA;NA;MF765512;NA;NA;NA;NA;NA;NA;NA;MF765595
Utricularia terrae-reginae;NA;NA;MF765497;NA;NA;NA;NA;NA;NA;KY243524;KY243655
Utricularia tortilis;NA;NA;MF765515;NA;NA;NA;NA;NA;NA;NA;MF765580
Utricularia tricolor;NA;NA;NA;NA;MF991557;NA;NA;NA;NA;AF482600;AF482677
Utricularia tridactyla;NA;NA;NA;NA;NA;NA;NA;NA;NA;KY243526;KY243656
Utricularia tridentata;NA;NA;AF531825;NA;MF991566;NA;NA;NA;NA;MH030228;MF765577
Utricularia triflora;NA;NA;NA;NA;NA;NA;NA;NA;NA;KY243568;KY243657
Utricularia triloba;NA;NA;MF765528;NA;AF482530;NA;NA;NA;NA;AF482601;AF482678
Utricularia tubulata;NA;NA;NA;NA;NA;NA;NA;NA;NA;KY243572;KY243659
